x,y,phi_exact,dphi_dx,dphi_dy,laplacian
0.0,0.6363636363636365,-0.0,-4.748514621489905,-0.0,0.0
0.0,0.6464646464646465,-0.0,-4.9999191044375095,-0.0,0.0
0.0,0.6565656565656566,-0.0,-5.231190677841839,-0.0,0.0
0.0,0.6666666666666667,-0.0,-5.441398092702655,-0.0,0.0
0.0,0.6767676767676768,-0.0,-5.629694917951705,-0.0,0.0
0.0,0.686868686868687,-0.0,-5.795322948731907,-0.0,0.0
0.0,0.696969696969697,-0.0,-5.937615259420684,-0.0,0.0
0.0,0.7070707070707072,-0.0,-6.055998889104085,-0.0,0.0
0.0,0.7171717171717172,-0.0,-6.149997148688135,-0.0,0.0
0.0,0.7272727272727273,-0.0,-6.219231540357589,-0.0,0.0
0.0,0.7373737373737375,-0.0,-6.263423281653043,-0.0,0.0
0.0,0.7474747474747475,-0.0,-6.282394428029497,-0.0,0.0
0.0,0.7575757575757577,-0.0,-6.276068589376244,0.0,0.0
0.0,0.7676767676767677,-0.0,-6.244471237612873,0.0,0.0
0.0,0.7777777777777778,-0.0,-6.187729604122849,0.0,0.0
0.0,0.787878787878788,-0.0,-6.1060721674376275,0.0,0.0
0.0,0.797979797979798,-0.0,-5.999827733234259,0.0,0.0
0.0,0.8080808080808082,-0.0,-5.869424110350966,0.0,0.0
0.0,0.8181818181818182,-0.0,-5.715386388151958,0.0,0.0
0.0,0.8282828282828284,-0.0,-5.538334822177875,0.0,0.0
0.0,0.8383838383838385,-0.0,-5.338982336595645,0.0,0.0
0.0,0.8484848484848485,-0.0,-5.118131653504493,0.0,0.0
0.0,0.8585858585858587,-0.0,-4.87667206065735,0.0,0.0
0.0,0.8686868686868687,-0.0,-4.6155758306129595,0.0,0.0
0.0,0.8787878787878789,-0.0,-4.3358943057374155,0.0,0.0
0.0,0.888888888888889,-0.0,-4.038753664819548,0.0,0.0
0.0,0.8989898989898991,-0.0,-3.7253503883463917,0.0,0.0
0.0,0.9090909090909092,-0.0,-3.3969464406985708,0.0,0.0
0.0,0.9191919191919192,-0.0,-3.054864188665136,0.0,0.0
0.0,0.9292929292929294,-0.0,-2.700481076739222,0.0,0.0
0.0,0.9393939393939394,-0.0,-2.3352240806352524,0.0,0.0
0.0,0.9494949494949496,-0.0,-1.960563961361348,0.0,0.0
0.0,0.9595959595959597,-0.0,-1.578009342983885,0.0,0.0
0.0,0.9696969696969697,-0.0,-1.1891006379307856,0.0,0.0
0.0,0.9797979797979799,-0.0,-0.7954038442943939,0.0,0.0
0.0,0.98989898989899,-0.0,-0.39850424010986474,0.0,0.0
0.0,1.0,-0.0,-1.5389365549774318e-15,0.0,0.0
0.010101010101010102,0.0,0.0,0.0,0.3985042401098647,-0.0
0.010101010101010102,0.010101010101010102,0.00402259358460235,0.3977019221471977,0.3977019221471977,-0.3176112587710813
0.010101010101010102,0.020202020202020204,0.008028989604588846,0.7938024390203239,0.39529819891045914,-0.6339436091020062
